video_id,word,count
XsLpg0fBfvE,arahvseorang,1
XsLpg0fBfvE,argumen,1
XsLpg0fBfvE,armando,1
XsLpg0fBfvE,arti,1
XsLpg0fBfvE,aset,1
XsLpg0fBfvE,aswan,1
XsLpg0fBfvE,aswas,1
XsLpg0fBfvE,atur,1
XsLpg0fBfvE,awam,1
XsLpg0fBfvE,awas,1
XsLpg0fBfvE,ayo,1
XsLpg0fBfvE,babangsa,1
XsLpg0fBfvE,bah,1
XsLpg0fBfvE,baik,1
XsLpg0fBfvE,bajer,1
XsLpg0fBfvE,banding,1
XsLpg0fBfvE,bang,1
XsLpg0fBfvE,banget,1
XsLpg0fBfvE,bau,1
XsLpg0fBfvE,bawah,1
XsLpg0fBfvE,bbg,1
XsLpg0fBfvE,beberapa,1
XsLpg0fBfvE,beda,1
XsLpg0fBfvE,begitu,1
XsLpg0fBfvE,belah,1
XsLpg0fBfvE,belanda,1
XsLpg0fBfvE,beli,1
XsLpg0fBfvE,beliau,1
XsLpg0fBfvE,benderang,1
XsLpg0fBfvE,berlarutlarut,1
XsLpg0fBfvE,berpenfidikan,1
XsLpg0fBfvE,betul,1
XsLpg0fBfvE,bg,1
XsLpg0fBfvE,bgt,1
XsLpg0fBfvE,bgundalnya,1
XsLpg0fBfvE,biasa,1
XsLpg0fBfvE,bingung,1
XsLpg0fBfvE,bisa,1
XsLpg0fBfvE,bln,1
XsLpg0fBfvE,bodohnegara,1
XsLpg0fBfvE,bohong,1
XsLpg0fBfvE,boneng,1
XsLpg0fBfvE,bongkar,1
XsLpg0fBfvE,bpk,1
XsLpg0fBfvE,british,1
XsLpg0fBfvE,buah,1
XsLpg0fBfvE,bubar,1
XsLpg0fBfvE,buipasti,1
XsLpg0fBfvE,buka,1
XsLpg0fBfvE,bukak,1
XsLpg0fBfvE,bukti,1
XsLpg0fBfvE,bulan,1
XsLpg0fBfvE,bumi,1
XsLpg0fBfvE,bunyi,1
XsLpg0fBfvE,busuklebih,1
XsLpg0fBfvE,cangkeme,1
XsLpg0fBfvE,cawapres,1
XsLpg0fBfvE,cawe,1
XsLpg0fBfvE,cebokin,1
XsLpg0fBfvE,cengangas,1
XsLpg0fBfvE,cengenges,1
XsLpg0fBfvE,cengesan,1
XsLpg0fBfvE,cerita,1
XsLpg0fBfvE,clear,1
