video_id,comment,published_at
9e5M1bDvhTA,Kita tunggu buktinya apa saja,2025-09-09T00:58:37Z
9e5M1bDvhTA,Fakta apa😂,2025-09-09T00:58:23Z
9e5M1bDvhTA,Kenapa ini?,2025-09-09T00:57:08Z
9e5M1bDvhTA,Polri jangan mau ditekan jangan korbankan diri Fery tidak merugikan rakyat ga digaji negara ga dapat pensiunan juga,2025-09-09T00:56:05Z
9e5M1bDvhTA,MASIH BISA CENGAR CENGIR PELIHARAAN COKLAT??!!!,2025-09-09T00:55:27Z
9e5M1bDvhTA,"gw pengen liat ujungnya jadi gimana, nih. another drama apa beneran?",2025-09-09T00:55:06Z
9e5M1bDvhTA,ERA ORDE BARU SANG MENANTU SUDAH DIMULAI,2025-09-09T00:54:03Z
9e5M1bDvhTA,"Para TNI jangan sampai terjerumus dalam narasi yang salah tempat, jangan sampai mencoreng insitusi TNI yang saat ini masih memiliki tempat di hati masyarakat Indonesia. Dan perlu di garis bawahi adalah TNI bukanlah polisi, semua sudah ada bagiannya masing - masing, dan sudah di atur dalam undanga - undang yang berlaku di Indonesia ini.",2025-09-09T00:53:36Z
9e5M1bDvhTA,"Andai saja zaman sekarang tidak ada medsos yg beritanya sangat super cepat, mungkin ada culik menculik seperti dulu",2025-09-09T00:50:40Z
9e5M1bDvhTA,Bg Ferry harus sabar menghadapi org² yg lebay,2025-09-09T00:50:32Z
9e5M1bDvhTA,apa karena sigendut kesel kemaren pas d tv,2025-09-09T00:50:31Z
9e5M1bDvhTA,Kalo nangkep Bandar judol inteligen kita berani ngga??????????❤❤❤,2025-09-09T00:49:22Z
9e5M1bDvhTA,"Wajar klo ada yg laporin selain sbg pemanfaat demo dia juga ngajak revolusi ,,mgkn bisa digabung sama emak2 pink dan gaya sombong nya memuakkan dia buat ricuh krn apa tuntutan demo jd acak2 an",2025-09-09T00:48:50Z
9e5M1bDvhTA,Sembarang,2025-09-09T00:46:36Z
